Types,HPCS-320
version,1.37.0
Describe,TEST
Test date,2025-07-30
Test time,16:35:32
E(lx),610.28
Candle E(fc),56.72
CCT(K),6348
Duv,0.00732
CIE x,0.3145
CIE y,0.3390
CIE u,0.1954
CIE v,0.3159
CIE u',0.1954
CIE v',0.4738
SDCM,1.15
Ra,96.0
R1,95
R2,97
R3,99
R4,95
R5,95
R6,96
R7,98
R8,93
R9,78
R10,94
R11,94
R12,94
R13,95
R14,99
R15,93
S/P,2.419
Dominant(nm),495.60
Purity(%),6.0
Half width(nm),302.6
Peak(nm),479.6
Center(nm),562.3
Centroid(nm),575.9
R ratio(%),40.1
G ratio(%),33.5
B ratio(%),26.3
Integral Time(ms),616.00
Peak Signal,47448
Dark Signal,2976
Compensate level,2540
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
727,5.138190,
728,5.334278,
729,5.549126,
730,5.806551,
731,6.046832,
732,6.241258,
733,6.424151,
734,6.594966,
735,6.777841,
736,6.904963,
737,7.032045,
738,7.180828,
739,7.328977,
740,7.439566,
741,7.545235,
742,7.644316,
743,7.713894,
744,7.753696,
745,7.756304,
746,7.733743,
747,7.720828,
748,7.703215,
749,7.697731,
750,7.704949,
751,7.676742,
752,7.572328,
753,7.314602,
754,6.885478,
755,6.296428,
756,5.642709,
757,5.079970,
758,4.608733,
759,4.201860,
760,4.054545,
761,4.133964,
762,4.421972,
763,4.752234,
764,5.139253,
765,5.617985,
766,6.074259,
767,6.471664,
768,6.785020,
769,7.029157,
770,7.224417,
771,7.372632,
772,7.455281,
773,7.525412,
774,7.579716,
775,7.567962,
776,7.514819,
777,7.497814,
778,7.464853,
779,7.411998,
780,7.339169,
